ts	phase	decision	why	evidence	result
2026-09-16T00:00:00Z	frame	Use a new isolated bundle directory and leave existing onboarding drafts unchanged	The worktree contains unrelated modified and untracked files in overlapping areas	git status --short	VERIFIED
2026-09-16T00:00:01Z	grounding	Pin agentgateway v1.5.0 and kagent v0.10.1	These are the latest stable upstream releases on 2026-09-16	https://github.com/agentgateway/agentgateway/releases/tag/v1.5.0, https://github.com/kagent-dev/kagent/releases/tag/v0.10.1	VERIFIED
2026-09-16T00:00:02Z	grounding	Use strict JWT auth for kagent-to-MCP traffic and reserve Entra MCP OAuth for interactive MCP clients	The upstream agentgateway guide distinguishes static service clients from OAuth discovery clients	https://agentgateway.dev/docs/kubernetes/latest/documentation/mcp/auth/setup/	VERIFIED
2026-09-16T00:00:03Z	baseline	Require a live NetworkPolicy allow and deny probe	Accepted NetworkPolicy objects do not prove packet enforcement	red context disposable agw-netpol-probe-2	VERIFIED
2026-09-16T17:07:33Z	audit	Supersede the four placeholder timestamps above with this recorded time	The first rows used date-only sentinel times instead of the clock time	DECISIONS.tsv:2	VERIFIED
2026-09-16T17:31:00Z	architecture	Use one dedicated platform Gateway with central routes, policies, and backends	It keeps privileged data-plane objects outside namespaces administered by application teams and reduces admission surface	/tmp/kagent-tenant-architecture/candidate-centralized/design.md and candidate-team-local/design.md	VERIFIED
2026-09-16T17:31:01Z	admission	Use native ValidatingAdmissionPolicy on red and document Kyverno as an alternative	Red serves VAP but its installed Kyverno controllers and webhooks are inactive	kubectl --context red API inventory	VERIFIED
2026-09-16T17:23:30Z	runtime	Set restricted pod and container security contexts in every Agent CR	kagent v0.10.1 does not add all Pod Security restricted fields to generated Agent Pods by default	red ReplicaSet FailedCreate events	VERIFIED
2026-09-16T17:26:30Z	runtime	Allow generated Agent Pods to call the scoped kagent controller session API on port 8083	The v0.10.1 runtime stores sessions and tasks through the controller, so an MCP-only egress allowlist deadlocked A2A execution	red Agent log session API timeout	VERIFIED
2026-09-16T17:28:30Z	runtime	Use the existing red Kimi model route for the lab profile	The configured Qwen route returned 503 while a direct authenticated Kimi canary returned 200	red model gateway canary	VERIFIED
2026-09-16T17:42:00Z	architecture	Correct the earlier central-backend wording: keep routes and policies central but store each platform-owned AgentgatewayBackend in its team namespace	Agentgateway v1.5 MCP static backendRef is namespace-local, so the central HTTPRoute crosses to the named backend under an exact ReferenceGrant	ARCHITECTURE.md and red route status	VERIFIED
2026-09-16T17:42:01Z	repeatability	Restart Secret consumers after every disposable token rotation	Secret-backed environment variables are not reloaded in existing Pods and caused a 401 on the second event-path run	red repeated render deploy verify cycle	VERIFIED
2026-09-16T17:42:02Z	verification	Complete the final JWT-profile matrix with positive counters and negative protocol, network, RBAC, admission, Pod Security, and ReferenceGrant witnesses	Accepted control-plane status alone does not prove isolation or backend non-invocation	evidence/red/2026-09-16-summary.tsv	VERIFIED
2026-09-16T17:50:00Z	review	Correct the kagent controller NetworkPolicy selector and reserve the generated-Agent label with admission	The independent trail review found that the first selector matched no controller Pods and that tenant-created Pods could otherwise spoof the egress label	red live Pod labels, N18, evidence/red/2026-09-16-summary.tsv	VERIFIED
2026-09-16T17:52:00Z	runtime	Permit genuine generated Agent Pods to use the kagent session API while denying tenant label spoofing	kagent v0.10.1 Agents require controller port 8083 for session and task storage, so Gateway-only ingress breaks A2A execution	P01, P02, N15, N18	VERIFIED
2026-09-16T17:55:00Z	verification	Inject the event through an in-cluster event-source and count every MCP backend request	A port-forward bypassed NetworkPolicy and allowed-tool counters did not prove authentication denials stopped before the backend	P01, N07, N17	VERIFIED
2026-09-16T18:00:00Z	supply-chain	Pull all four Helm charts and compare their OCI manifest digests with versions.lock before installation	A version tag alone does not enforce the recorded artifact digest	scripts/install-control-planes.sh and platform/versions.lock	VERIFIED
2026-09-16T18:35:00Z	ownership	Route to the existing platform-owned SandboxAgent instead of enabling a second Substrate-reconciling kagent controller	The shared controller watches all namespaces; a parallel owner created competing ActorTemplates and the 0.10.1 client failed against red Substrate 0.0.8	red cleanup logs and ARCHITECTURE.md	VERIFIED
2026-09-16T18:42:16Z	discovery	Label the existing kagent namespace for dedicated agentgateway discovery and grant only the named controller Service	The fifth cross-namespace Service backend remained RefNotPermitted until its target namespace entered the controller discovery set	red HTTPRoute substrate-a2a ResolvedRefs=True	VERIFIED
2026-09-16T18:44:09Z	integration	Expose only machinist-security-review on a dedicated authenticated listener with a distinct audience and claims	This demonstrates Agent Substrate lifecycle without turning the Gateway into a generic shared-controller proxy	P04 S05 N20 N21 N22 N23	VERIFIED
2026-09-16T18:44:10Z	versioning	Keep red runtime evidence separate from the workplace target lock	Red proves the historical kagent 0.10.0-beta7 and Substrate 0.0.8 lane; yesterday's canary proves only the credential-free 0.10.1 and 0.0.9 target	platform/substrate/target-platform.env and evidence/red/2026-09-16-runtime.md	VERIFIED
